Titre de tracé : 20011418;;;
#;Date;Heure  GMT+02:00;Moy. : Température  °C (LGR S/N: 20011418)
639;09/07/2020;12:00:00;12.207
640;09/07/2020;14:00:00;15.855
641;09/07/2020;16:00:00;14.230
642;09/07/2020;18:00:00;12.980
643;09/07/2020;20:00:00;11.625
644;09/07/2020;22:00:00;10.651
645;09/08/2020;00:00:00;9.373
646;09/08/2020;02:00:00;8.779
647;09/08/2020;04:00:00;8.082
648;09/08/2020;06:00:00;7.481
649;09/08/2020;08:00:00;7.381
650;09/08/2020;10:00:00;11.722
651;09/08/2020;12:00:00;15.282
652;09/08/2020;14:00:00;17.570
653;09/08/2020;16:00:00;17.094
654;09/08/2020;18:00:00;13.942
655;09/08/2020;20:00:00;12.497
656;09/08/2020;22:00:00;11.431
657;09/09/2020;00:00:00;10.455
658;09/09/2020;02:00:00;9.669
659;09/09/2020;04:00:00;9.077
660;09/09/2020;06:00:00;8.581
661;09/09/2020;08:00:00;8.382
662;09/09/2020;10:00:00;13.269
663;09/09/2020;12:00:00;12.690
664;09/09/2020;14:00:00;13.654
665;09/09/2020;16:00:00;14.230
666;09/09/2020;18:00:00;13.461
667;09/09/2020;20:00:00;11.916
668;09/09/2020;22:00:00;10.651
669;09/10/2020;00:00:00;9.965
670;09/10/2020;02:00:00;9.373
671;09/10/2020;04:00:00;9.275
672;09/10/2020;06:00:00;8.282
673;09/10/2020;08:00:00;8.082
674;09/10/2020;10:00:00;11.916
675;09/10/2020;12:00:00;13.846
676;09/10/2020;14:00:00;14.996
677;09/10/2020;16:00:00;15.855
678;09/10/2020;18:00:00;13.750
679;09/10/2020;20:00:00;12.304
680;09/10/2020;22:00:00;11.236
681;09/11/2020;00:00:00;10.748
682;09/11/2020;02:00:00;10.259
683;09/11/2020;04:00:00;10.063
684;09/11/2020;06:00:00;9.472
685;09/11/2020;08:00:00;9.472
686;09/11/2020;10:00:00;11.916
687;09/11/2020;12:00:00;15.282
688;09/11/2020;14:00:00;15.282
689;09/11/2020;16:00:00;14.134
690;09/11/2020;18:00:00;13.173
691;09/11/2020;20:00:00;12.110
692;09/11/2020;22:00:00;11.236
693;09/12/2020;00:00:00;10.259
694;09/12/2020;02:00:00;9.275
695;09/12/2020;04:00:00;8.680
696;09/12/2020;06:00:00;8.282
697;09/12/2020;08:00:00;8.082
698;09/12/2020;10:00:00;12.304
699;09/12/2020;12:00:00;15.760
700;09/12/2020;14:00:00;16.046
701;09/12/2020;16:00:00;16.808
702;09/12/2020;18:00:00;14.038
703;09/12/2020;20:00:00;12.207
704;09/12/2020;22:00:00;11.139
705;09/13/2020;00:00:00;10.455
706;09/13/2020;02:00:00;9.866
707;09/13/2020;04:00:00;9.373
708;09/13/2020;06:00:00;8.978
709;09/13/2020;08:00:00;8.879
710;09/13/2020;10:00:00;13.076
711;09/13/2020;12:00:00;16.523
712;09/13/2020;14:00:00;18.331
713;09/13/2020;16:00:00;17.760
714;09/13/2020;18:00:00;15.473
715;09/13/2020;20:00:00;14.038
716;09/13/2020;22:00:00;13.173
717;09/14/2020;00:00:00;12.304
718;09/14/2020;02:00:00;11.528
719;09/14/2020;04:00:00;10.748
720;09/14/2020;06:00:00;9.866
721;09/14/2020;08:00:00;9.472
722;09/14/2020;10:00:00;13.365
723;09/14/2020;12:00:00;16.808
