;species;year;BER_carrelet;BER_carrelet_rip;BER_clapier;BER_lac1;BER_lac2;EYCH_meleze;EYCH_torr_ABCD;EYCH_torr_EFG;MAUR_arpont;MAUR_planay_haut;MAUR_planay_torr_ABCD;MAUR_planay_torr_EFGH;VALL_gla_bl;VALL_mor_bas;VALL_mor_haut_ABCD;VALL_mor_haut_DE;VILL_bas;VILL_haut
Saxifraga paniculata;Sax_pan;2021;;;;;;1;0;0;0;0;;;1;0;0;0;0;0
Sedum album;Sed_alb;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Sedum alpestre;Sed_alp;2021;;;;;;0;0;0;0;0;;;1;1;0;0;0;0
Sedum dasyphyllum;Sed_das;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Sedum montanum;Sed_mon;2021;;;;;;1;1;0;0;0;;;0;0;0;0;0;0
Sempervivum arachnoideum;Sem_ara;2021;;;;;;1;1;0;0;0;;;0;1;1;0;1;0
Sempervivum montanum;Sem_mon;2021;;;;;;0;0;0;0;0;;;1;0;1;0;0;0
Silene acaulis bryoides;Sil_bry;2021;;;;;;0;0;0;0;0;;;0;0;0;0;1;1
Silene otites;Sil_oti;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Silene vulgaris prostrata;Sil_pro;2021;;;;;;0;0;0;1;0;;;0;0;0;0;0;0
Solidago virgaurea;Sol_vir;2021;;;;;;0;1;0;0;0;;;0;0;0;0;0;0
Sorbus aria;Sor_ari;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Taraxacum sp.;Tar_sp.;2021;;;;;;0;0;0;1;1;;;0;0;0;0;1;0
Thesium alpinum;The_alp;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Thesium sp. ;The_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Thymus pullegiodes;Thy_pul;2021;;;;;;1;0;0;1;0;;;0;1;1;1;0;1
Tolpis staticifolia;Tol_sta;2021;;;;;;0;1;1;1;1;;;1;0;0;1;0;0
Trifolium badium;Tri_bad;2021;;;;;;0;0;0;1;0;;;0;0;0;0;0;1
Trifolium pratense villosum;Tri_vil;2021;;;;;;0;0;0;0;1;;;0;0;0;0;0;0
Trifolium pallescens;Tri_pal;2021;;;;;;1;1;0;1;1;;;0;0;0;0;1;1
Trifolium saxatile;Tri_sax;2021;;;;;;1;1;1;0;1;;;0;0;1;1;1;1
Trifolium thalii;Tri_tha;2021;;;;;;0;0;0;0;0;;;1;0;1;1;0;0
Tussilago farfara;Tus_far;2021;;;;;;0;0;0;0;1;;;0;0;0;0;0;0
Veronica aphylla;Ver_aph;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;1
Veronica fruticans;Ver_fru;2021;;;;;;1;0;0;1;0;;;1;1;1;1;0;1
Veronica sp.;Ver_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
