species;year;BER_carrelet;BER_carrip;BER_claphp;BER_lacrip;BER_lactor;EYCH_meleze;EYCH_torr1;EYCH_torr2;STANDRE_arpont;STANDRE_plah;STANDRE_plabABCD;STANDRE_plabEFGH;VALL_glabl;VALL_morba;VALL_morhautABC;VALL_morhautDE;VILL_bas;VILL_haut
Thesium sp. ;2021;;;;;;;;;;;;;;;;;;
Thymus pullegiodes;2021;;;;;;2;;;40;;;;;2;1;2;;4
Tolpis staticifolia;2021;;;;;;;5;2;20;1;10;;8;;;1;;
Trifolium badium;2021;;;;;;;;;2;;2;13;;;;;;12
Trifolium pratense villosum;2021;;;;;;;;;;2;;;;;;;;
Trifolium pallescens;2021;;;;;;2;1;;4;1;2;3;;;;;4;8
Trifolium saxatile;2021;;;;;;1;2;8;;3;;;;;1;1;4;2
Trifolium thalii;2021;;;;;;;;;;;;;2;;4;+;;
Tussilago farfara;2021;;;;;;;;;;10;20;16;;;;;;
Veronica aphylla;2021;;;;;;;;;;;;;;;;;;+
Veronica fruticans;2021;;;;;;1;;;+;;;;1;1;1;+;;1
Veronica sp.;2021;;;;;;;;;;;;;;;;;;
Vincetoxicum hirrudinaria;2021;;;;;;+;;;;;;;;;;;;
